Model,Displ,Cyl,Trans,Drive,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
NISSAN Rogue Hybrid,2,4,SCV-7,2WD,CA,U2,California LEV-II ULEV,KNSXT02.0NGA,small SUV,3,33,35,34,8,Yes,261
NISSAN Rogue Hybrid,2,4,SCV-7,4WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXT02.0NGA,small SUV,3,31,34,33,8,Yes,276
NISSAN Rogue Hybrid,2,4,SCV-7,4WD,CA,U2,California LEV-II ULEV,KNSXT02.0NGA,small SUV,3,31,34,33,8,Yes,276
NISSAN Rogue Sport,2,4,SCV-7,2WD,CA,L3ULEV70,California LEV-III ULEV70,KNSXV02.0PMA,station wagon,5,25,32,28,6,No,318
NISSAN Rogue Sport,2,4,SCV-7,2WD,FA,T3B70,Federal Tier 3 Bin 70,KNSXV02.0PMA,station wagon,5,25,32,28,6,No,318
NISSAN Rogue Sport,2,4,SCV-7,4WD,CA,L3ULEV70,California LEV-III ULEV70,KNSXV02.0PMA,station wagon,5,24,30,27,6,No,330
NISSAN Rogue Sport,2,4,SCV-7,4WD,FA,T3B70,Federal Tier 3 Bin 70,KNSXV02.0PMA,station wagon,5,24,30,27,6,No,330
NISSAN Sentra,1.6,4,SCV-7,2WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXV01.6NDA,midsize car,3,27,33,29,6,No,307
NISSAN Sentra,1.6,4,SCV-7,2WD,CA,U2,California LEV-II ULEV,KNSXV01.6NDA,midsize car,3,27,33,29,6,No,307
NISSAN Sentra,1.8,4,CVT,2WD,CA,L3SULEV30,California LEV-III SULEV30,KNSXV01.8R1A,midsize car,7,29,37,32,7,Yes,278
NISSAN Sentra,1.8,4,CVT,2WD,FA,T3B30,Federal Tier 3 Bin 30,KNSXV01.8R1A,midsize car,7,29,37,32,7,Yes,278
NISSAN Sentra,1.8,4,Man-6,2WD,CA,L2,California LEV-II LEV,KNSXV01.8M1A,midsize car,1,27,35,30,7,No,297
NISSAN Sentra,1.8,4,Man-6,2WD,FA,T3B160,Federal Tier 3 Bin 160,KNSXV01.8M1A,midsize car,1,27,35,30,7,No,297
NISSAN Sentra Nismo,1.6,4,Man-6,2WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXV01.6NDA,midsize car,3,25,31,27,6,No,330
NISSAN Sentra Nismo,1.6,4,Man-6,2WD,CA,U2,California LEV-II ULEV,KNSXV01.6NDA,midsize car,3,25,31,27,6,No,330
NISSAN Sentra Nismo,1.6,4,SCV-7,2WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXV01.6NDA,midsize car,3,25,30,27,6,No,330
NISSAN Sentra Nismo,1.6,4,SCV-7,2WD,CA,U2,California LEV-II ULEV,KNSXV01.6NDA,midsize car,3,25,30,27,6,No,330
NISSAN Titan,5.6,8,SemiAuto-7,2WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXT05.6N9A,pickup,3,15,21,18,3,No,505
